1,2,3,4,freq,prop
Haddad,Ciro,Alckmin,Bolsonaro,575,0.147
Haddad,Alckmin,Ciro,Bolsonaro,229,0.078
Haddad,Ciro,Bolsonaro,Alckmin,43,0.015
Haddad,Bolsonaro,Ciro,Alckmin,33,0.011
Haddad,Bolsonaro,Alckmin,Ciro,31,0.011
Haddad,Alckmin,Bolsonaro,Ciro,15,0.005
Alckmin,Bolsonaro,Haddad,Ciro,0,0.009
Alckmin,Bolsonaro,Ciro,Haddad,0,0.028
Alckmin,Haddad,Bolsonaro,Ciro,0,0.004
Alckmin,Ciro,Bolsonaro,Haddad,0,0.025
Alckmin,Haddad,Ciro,Bolsonaro,3,0.034
Alckmin,Ciro,Haddad,Bolsonaro,149,0.051
Ciro,Bolsonaro,Haddad,Alckmin,10,0.006
Ciro,Bolsonaro,Alckmin,Haddad,41,0.014
Ciro,Haddad,Bolsonaro,Alckmin,17,0.006
Ciro,Alckmin,Bolsonaro,Haddad,60,0.02
Ciro,Haddad,Alckmin,Bolsonaro,88,0.078
Ciro,Alckmin,Haddad,Bolsonaro,179,0.061
Bolsonaro,Alckmin,Ciro,Haddad,612,0.18
Bolsonaro,Ciro,Alckmin,Haddad,450,0.129
Bolsonaro,Alckmin,Haddad,Ciro,102,0.026
Bolsonaro,Ciro,Haddad,Alckmin,76,0.023
Bolsonaro,Haddad,Ciro,Alckmin,158,0.021
Bolsonaro,Haddad,Alckmin,Ciro,66,0.018
